time,symbol,type,lots,price,profit,reason
2025.06.02 00:30,USDCHF,close_sell,0.17,0.82206,-33.09,SL
2025.06.02 03:13,GBPUSD,close_sell,0.19,1.34760,29.07,TP
2025.06.03 00:12,EURGBP,close_sell,0.31,0.84409,-30.66,SL
2025.06.03 01:00,AUDJPY,close_buy,0.35,92.603,24.84,TP
2025.06.03 01:00,NZDUSD,close_buy,0.37,0.60330,30.88,TP
2025.06.03 03:12,USDCAD,close_buy,0.37,1.37229,-33.20,SL
2025.06.03 04:15,AUDUSD,close_buy,0.38,0.64875,28.72,TP
2025.06.03 04:26,GBPUSD,close_buy,0.22,1.35346,29.05,TP
2025.06.03 04:35,EURUSD,close_buy,0.22,1.14312,30.37,TP
2025.06.03 08:25,EURGBP,close_sell,0.30,0.84450,-2.84,TIME/EA
2025.06.04 00:01,GBPJPY,close_buy,0.22,194.500,25.26,TP
2025.06.04 00:12,NZDUSD,close_sell,0.34,0.59933,-32.30,SL
2025.06.04 00:15,GBPJPY,close_sell,0.17,194.594,-30.70,SL
2025.06.04 00:16,EURJPY,close_buy,0.31,163.891,-35.40,SL
2025.06.04 00:24,AUDJPY,close_buy,0.36,93.199,-35.92,SL
2025.06.04 03:24,USDJPY,close_buy,0.23,143.793,25.98,TP
2025.06.04 23:21,USDCAD,close_buy,0.31,1.36840,-30.58,SL
2025.06.05 00:00,EURGBP,close_buy,0.40,0.84163,51.92,TP
2025.06.05 00:06,USDCHF,close_buy,0.18,0.81965,-42.51,SL
2025.06.05 00:30,AUDUSD,close_sell,0.44,0.64896,-29.48,SL
2025.06.05 00:53,NZDUSD,close_sell,0.47,0.60218,-25.85,SL
2025.06.05 02:18,EURJPY,close_sell,0.25,162.934,-29.97,SL
2025.06.05 02:21,USDJPY,close_buy,0.14,142.556,22.13,TP
2025.06.05 08:20,USDCAD,close_sell,0.31,1.36763,-4.76,TIME/EA
2025.06.06 00:00,EURGBP,close_buy,0.22,0.84391,-37.02,SL
2025.06.06 00:31,USDCHF,close_sell,0.17,0.81872,-29.69,SL
2025.06.06 06:40,USDJPY,close_buy,0.14,143.819,-10.39,TIME/EA
2025.06.06 06:50,AUDJPY,close_buy,0.20,93.446,6.14,TIME/EA
2025.06.06 06:50,GBPJPY,close_buy,0.12,195.145,-10.65,TIME/EA
2025.06.06 06:55,USDCAD,close_buy,0.32,1.36640,13.56,TIME/EA
2025.06.06 08:20,EURJPY,close_sell,0.14,164.537,15.19,TIME/EA
2025.06.09 00:05,USDCAD,close_buy,0.25,1.37017,-2.94,TIME/EA
2025.06.09 00:57,USDCAD,close_sell,0.31,1.36887,-29.67,SL
2025.06.09 04:23,GBPUSD,close_sell,0.20,1.35454,28.80,TP
2025.06.09 23:18,USDCAD,close_buy,0.39,1.36958,-29.33,SL
2025.06.09 23:55,USDCAD,close_buy,0.39,1.37018,-28.18,SL
2025.06.10 00:00,USDCHF,close_buy,0.33,0.82296,-64.24,SL
2025.06.10 00:02,EURGBP,close_buy,0.43,0.84342,-40.39,SL
2025.06.10 00:37,GBPUSD,close_sell,0.25,1.35462,-27.50,SL
2025.06.10 03:14,USDJPY,close_buy,0.32,144.495,21.80,TP
2025.06.10 22:22,NZDUSD,close_buy,0.42,0.60491,-27.30,SL
2025.06.11 00:00,NZDUSD,close_buy,0.41,0.60563,-28.51,SL
2025.06.11 00:00,AUDUSD,close_buy,0.37,0.65293,-33.09,SL
2025.06.11 02:01,AUDJPY,close_buy,0.36,94.641,-31.58,SL
2025.06.11 02:52,EURUSD,close_buy,0.23,1.14401,-26.67,SL
2025.06.11 04:35,GBPUSD,close_buy,0.19,1.34881,26.23,TP
2025.06.12 00:00,EURGBP,close_buy,0.24,0.84883,-25.92,SL
2025.06.12 01:58,USDCHF,close_buy,0.15,0.81903,18.59,TP
2025.06.12 01:58,USDJPY,close_buy,0.10,144.249,19.44,TP
2025.06.12 03:00,GBPJPY,close_buy,0.12,195.589,14.95,TP
2025.06.12 04:11,EURJPY,close_buy,0.17,165.841,18.58,TP
2025.06.12 07:40,USDCAD,close_buy,0.23,1.36589,17.79,TIME/EA
2025.06.12 23:37,GBPUSD,close_buy,0.15,1.36129,-25.80,SL
2025.06.13 00:08,GBPJPY,close_buy,0.17,195.536,-34.35,SL
2025.06.13 00:27,EURGBP,close_sell,0.31,0.85068,-25.75,SL
2025.06.13 00:35,USDCAD,close_buy,0.36,1.36163,-29.65,SL
2025.06.13 00:59,EURJPY,close_buy,0.23,166.436,-31.15,SL
2025.06.13 02:41,EURUSD,close_buy,0.15,1.15964,-25.94,SL
2025.06.13 02:41,USDJPY,close_sell,0.19,143.312,-25.06,SL
2025.06.13 02:55,GBPUSD,close_buy,0.17,1.36267,-26.00,SL
2025.06.13 03:02,NZDUSD,close_buy,0.34,0.60595,26.52,TP
2025.06.13 03:02,AUDUSD,close_buy,0.28,0.65193,25.08,TP
2025.06.13 23:44,EURJPY,close_buy,0.19,166.416,-24.53,SL
2025.06.13 23:50,GBPJPY,close_buy,0.15,195.555,-24.88,SL
2025.06.16 00:05,EURUSD,close_buy,0.16,1.15355,21.93,TIME/EA
2025.06.16 00:05,USDJPY,close_buy,0.21,144.105,-16.84,TIME/EA
2025.06.16 00:05,GBPUSD,close_buy,0.16,1.35722,-4.64,TIME/EA
2025.06.16 00:05,EURJPY,close_buy,0.17,166.214,19.29,TIME/EA
2025.06.16 00:05,EURGBP,close_buy,0.28,0.85109,0.24,TIME/EA
2025.06.16 00:05,USDJPY,close_sell,0.20,143.904,-27.94,SL
2025.06.16 00:05,EURJPY,close_sell,0.13,165.951,-23.76,SL
2025.06.16 00:06,USDCHF,close_buy,0.18,0.81275,-27.72,SL
2025.06.16 00:06,AUDJPY,close_buy,0.22,93.502,-9.89,TIME/EA
2025.06.16 00:25,GBPUSD,close_sell,0.14,1.35439,-23.52,SL
2025.06.16 00:30,NZDUSD,close_sell,0.25,0.60048,-32.75,SL
2025.06.16 00:50,NZDUSD,close_sell,0.23,0.60023,-22.77,SL
2025.06.16 00:59,AUDUSD,close_sell,0.20,0.64817,-25.20,SL
2025.06.16 01:10,EURJPY,close_sell,0.13,166.581,24.21,TP
2025.06.16 03:26,NZDUSD,close_sell,0.21,0.60230,21.00,TP
2025.06.16 08:05,EURUSD,close_sell,0.14,1.15391,5.04,TIME/EA
2025.06.16 22:41,USDCHF,close_buy,0.17,0.81412,-22.13,SL
2025.06.16 22:50,USDCAD,close_buy,0.27,1.35735,-22.48,SL
2025.06.16 22:50,USDJPY,close_buy,0.19,144.822,-23.22,SL
2025.06.17 00:00,EURJPY,close_buy,0.22,167.483,-27.11,SL
2025.06.17 00:10,AUDUSD,close_sell,0.25,0.65181,-22.00,SL
2025.06.17 01:00,GBPJPY,close_buy,0.18,196.437,21.68,TP
2025.06.17 02:56,GBPUSD,close_sell,0.14,1.35657,-21.42,SL
2025.06.17 03:03,USDCAD,close_buy,0.26,1.35823,-24.34,SL
2025.06.17 06:50,USDCHF,close_buy,0.17,0.81419,-3.59,TIME/EA
2025.06.17 23:10,USDCAD,close_buy,0.21,1.36537,-21.99,SL
2025.06.17 23:41,USDCAD,close_buy,0.19,1.36772,-21.12,SL
2025.06.17 23:50,USDCAD,close_buy,0.17,1.36738,21.63,TP
2025.06.18 00:05,AUDUSD,close_buy,0.19,0.64886,-28.39,SL
2025.06.18 00:07,AUDJPY,close_buy,0.21,94.214,-25.05,SL
