mkt,cost,trades,win,net%,PF,Sharpe,maxDD%,hold_d
NAS100,0.86,38,0.39,31.6,1.45,0.87,12.9,24
SP500,0.94,41,0.39,5.5,1.1,0.24,12.3,23
DOW30,1.06,42,0.38,-20.0,0.69,-0.91,23.4,23
DAX40,2.0,47,0.3,-41.6,0.53,-1.81,40.2,18
FTSE100,2.0,40,0.3,-43.4,0.37,-2.67,46.8,20
NIK225,2.0,40,0.32,-8.0,0.91,-0.18,49.8,19
HSI50,2.0,42,0.26,-25.7,0.76,-0.63,49.1,20
ASX200,2.0,45,0.27,-25.1,0.55,-1.57,32.1,18
CAC40,2.0,44,0.27,-64.5,0.39,-2.79,64.4,20
GOLD,1.29,39,0.36,8.8,1.14,0.29,17.5,20
SILVER,10.62,44,0.25,-69.1,0.62,-1.09,88.0,17
WTI,6.61,32,0.44,6.8,1.07,0.12,63.2,23
BRENT,6.33,35,0.26,-23.4,0.82,-0.36,100.6,21
NATGAS,49.49,34,0.44,-49.6,0.82,-0.45,124.9,25
COPPER,2.0,40,0.28,-44.6,0.63,-1.02,59.5,19
PLAT,2.0,52,0.29,-68.6,0.62,-1.2,108.9,16
EURUSD,1.75,21,0.29,5.9,1.34,0.41,13.2,36
GBPUSD,1.81,24,0.46,3.7,1.16,0.29,7.0,34
USDJPY,1.55,15,0.73,30.9,4.77,2.18,3.9,53
USDCHF,2.97,15,0.27,-11.3,0.51,-0.9,18.1,65
USDCAD,1.98,26,0.23,-12.8,0.52,-1.44,13.9,35
AUDUSD,3.43,26,0.15,-34.7,0.25,-2.66,34.0,31
NZDUSD,4.89,25,0.28,-24.0,0.45,-1.59,30.6,32
EURJPY,1.73,16,0.5,17.6,2.69,1.54,4.3,66
GBPJPY,1.82,18,0.33,-8.0,0.76,-0.46,17.1,43
EURGBP,2.78,22,0.05,-37.2,0.02,-3.62,35.4,36
AUDJPY,3.27,16,0.62,19.6,2.33,1.13,7.3,50
BTCUSD,7.7,53,0.38,59.1,1.23,0.55,56.9,23
ETHUSD,27.91,50,0.38,10.6,1.03,0.09,108.4,24
SOLUSD,2.0,56,0.36,409.9,1.98,1.07,92.3,22
